model,history,neurons,layers,optimizer,learning_rate,loss,y_log,r2_score,mape,time,epochs
<keras.src.engine.sequential.Sequential object at 0x31b558090>,<keras.src.callbacks.History object at 0x31c36c950>,32,1,adam,0.1,mean_absolute_percentage_error,False,-0.194658503882704,0.3175738157592412,1.7592990398406982,50
<keras.src.engine.sequential.Sequential object at 0x31c3fc090>,<keras.src.callbacks.History object at 0x3132d6790>,32,1,adam,0.01,mean_squared_logarithmic_error,True,-3.4542193370556316,0.9802907459313689,0.8922369480133057,40
<keras.src.engine.sequential.Sequential object at 0x31c302d90>,<keras.src.callbacks.History object at 0x30eaff250>,32,1,adam,0.01,mean_squared_logarithmic_error,False,0.28001531867256146,0.28235582317369623,7.5026891231536865,605
<keras.src.engine.sequential.Sequential object at 0x31cc70490>,<keras.src.callbacks.History object at 0x31c472310>,32,1,adam,0.01,mse,True,-3.456832591018654,0.9811678485516151,1.4823501110076904,103
<keras.src.engine.sequential.Sequential object at 0x31ce9e490>,<keras.src.callbacks.History object at 0x31e1bf250>,32,1,adam,0.01,mse,False,0.38518897213347913,0.28672094813117227,1.012523889541626,61
<keras.src.engine.sequential.Sequential object at 0x31e2474d0>,<keras.src.callbacks.History object at 0x31e241950>,32,1,adam,0.01,mean_absolute_percentage_error,True,-3.453875176934666,0.9807592062452299,0.8897562026977539,46
<keras.src.engine.sequential.Sequential object at 0x31de8b110>,<keras.src.callbacks.History object at 0x31e54d190>,32,1,adam,0.01,mean_absolute_percentage_error,False,0.09273348253802594,0.24277345750169094,2.2619707584381104,158
<keras.src.engine.sequential.Sequential object at 0x31e529a90>,<keras.src.callbacks.History object at 0x31fb46d50>,32,1,adam,0.001,mean_squared_logarithmic_error,True,-3.4537338455614117,0.9803149819975261,6.528849363327026,563
<keras.src.engine.sequential.Sequential object at 0x320743dd0>,<keras.src.callbacks.History object at 0x3202dc110>,32,1,adam,0.001,mean_squared_logarithmic_error,False,0.2273940388597372,0.27464059732773355,16.245516777038574,1403
<keras.src.engine.sequential.Sequential object at 0x320ef3150>,<keras.src.callbacks.History object at 0x321a98d50>,32,1,adam,0.001,mse,True,-3.4592255976236634,0.9814544917820008,3.203805923461914,250
<keras.src.engine.sequential.Sequential object at 0x3229bbdd0>,<keras.src.callbacks.History object at 0x322a18710>,32,1,adam,0.001,mse,False,0.3895909139619814,0.2960159837798679,4.581472158432007,385
<keras.src.engine.sequential.Sequential object at 0x320690e90>,<keras.src.callbacks.History object at 0x3230738d0>,32,1,adam,0.001,mean_absolute_percentage_error,True,-3.457824937257662,0.9808743375857545,2.35437273979187,180
<keras.src.engine.sequential.Sequential object at 0x323004b10>,<keras.src.callbacks.History object at 0x32352ff10>,32,1,adam,0.001,mean_absolute_percentage_error,False,-0.10631193454094601,0.2741373885518965,12.65955901145935,1057
<keras.src.engine.sequential.Sequential object at 0x32450bdd0>,<keras.src.callbacks.History object at 0x324750350>,32,1,sgd,0.1,mean_squared_logarithmic_error,True,-3.4551851129828313,0.9811262875127902,3.553730010986328,305
<keras.src.engine.sequential.Sequential object at 0x323ce7950>,<keras.src.callbacks.History object at 0x325ab8dd0>,32,1,sgd,0.1,mean_squared_logarithmic_error,False,0.19208576688610457,0.28421000857111395,6.203012943267822,558
